sentence,aspect,label
the surf can be quite strong making swimming a challenge,Nature & Activities,3
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
this would beach would have got a much higher rating if it was not for the amount if plastic and trash you found washed up along the shore and in the water,Crowds & Sustainability,1
can recommend nagenahira beach villas for accommodation,Accommodation,2
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
as it was already getting busy and hot we decided to do the climb first good move as the rock gets even busier hotter and the museum is relatively cool to relax in afterwards,Wellness & Relaxation,3
the stupa was a ruin in the 19th century and after a fundraising campaign was renovated in the early 20th century,Religious & Historical,2
a beautiful tranquil oasis of greenery and colour amidst the noise and traffic of downtown kandy,Wellness & Relaxation,4
peaceful beach with white sand and crystal clear and warm waters,Nature & Activities,3
i did not feel the driver of our safari jeep hassled the elephants at all,Nature & Activities,2
staying quiet is very important not to disturb the normal life of the animals,Nature & Activities,0
just a few dive shops and accommodation options on the beach with some restaurants on the side streets,Nature & Activities,1
the climb although not that long could be considered by some to be pretty steep,Nature & Activities,0
when we did realize that we had indeed missed it we back tracked when we descended and took a much leisurely walk appreciating the lotus ponds and landscape,Nature & Activities,2
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
beautifully kept house and garden owned by a gardener a short tuk tuk from town thru windy narrow lane ways,Transportation,3
save your money you see more wildlife on the road monkeys jumping from tree to tree fruit bats and about 30 parrots flying cows walking the road and even saw a working elephant when we asked the guide where they had gone he said they had not had water for months but he ddnt know where all the animals had gone,Nature & Activities,1
cannot go that close but its truly a magnificent creation of nature,Nature & Activities,0
within the fort you will find a small museum displaying photographs of archeological heritage in the northern province,Religious & Historical,1
you do not get any facilities or food around apart from some street vendors,Accommodation,0
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
the beach sand was nice to walk on and we enjoyed the refreshing ocean breeze,Nature & Activities,3
there are not options for vehicles to go off road due to the forest which is a good thing as it prevents the environment being degraded,Nature & Activities,1
inside you can see all walls with paintings of the time hundreds of years ago,Accommodation,2
"The spa was peaceful, but the food was overpriced and bland.",Wellness & Relaxation,3
great little flat beach with beautifully clear water,Nature & Activities,2
it is a must because the temple is here also the museum of world buddhist national museum and royal bath and more,Religious & Historical,4
above there is an amazing view across the sea with the magical kaytsislands on the horizont,Nature & Activities,3
big bath in the room,Accommodation,2
i have stayed with my family and i really enjoyed my stay the staff were very friendly and professional,Accommodation,3
he said that the elephants do not have to work for their food there and life is quite easy and the care is excellent with medical care etc,Food & Dining,1
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
but no leopard who apparently do not like rain and wet grounds one caveat lodges around are really pricey and given the lack of competition do not offer great accommodation we visited after our day in wilderness but decided to come back by night rather than sleep over at the park,Accommodation,0
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Transportation,1
it gets very busy at night but what a fabulous atmosphere to soak up the warm tropical air a beautiful walk along the front will take you past the many restaurants and diners and sun beds are readily available and free the service at restaurants can vary from incredibly poor to very good depending on which one you choose the busier ones are often poor service and waiters can just ignore you completely so if you do stop for a drink do not wait for them to come to you prices are more expensive on the beach and can be unreasonable if you have got poor service,Crowds & Sustainability,0
we visited thuruliya lodge for the second time in january 2015,Accommodation,2
literally a pile of rifles next to buddha statues my daughters spotted old plastic macdonalds happy meal toys did not quite know what to make of that,Religious & Historical,1
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
not worth it they charged 3000lkr per person for a 10 min elephant ride,Transportation,0
short visit to the lake on the way to our accommodation and visit to the sita amman temple did not have much time to explore but the view of the lake from our hotel was magnificent,Religious & Historical,1
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
you are not pressured into purchasing tea however if you wish to buy tea the shop was extremely busy and understaffed so hard to get any info on any tea that you want to purchase as well as pricing,Crowds & Sustainability,0
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
it tends to get very warm along the fort wall with not too many options for a drinkrest and hence would recommend that you carry a lot of waterdrinks with you,Religious & Historical,0
as a temple dress restrictions apply no shoes but socks are worthwhile,Religious & Historical,0
the snorkelling from the beach was great and the trip out to the rocks was also worth while,Transportation,0
there is the elephant dance in the evening and if you are lucky you may even see some land monitors walking around freely as they are not captured for the zoo,Nature & Activities,0
the garden is big and well looked after and if you spend enough time walking around it you may see some cute animals,Nature & Activities,3
on our 6 day trip to down south we decided to devote half a day to do a bird watching tour in kalametiya bird sanctuary,Transportation,1
the food there was great and it has a great atmosphere though,Food & Dining,4
very good for kids to see elephants on closeup view we chased the elephants and their babies very nice to watch how they eat living in the wild free,Food & Dining,4
driver and companion good at spotting animals although not much english spokeninfo about animals,Transportation,1
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
beautiful waterfall in picturesque surroundings,Nature & Activities,4
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
then there is the hatchery which rescues vulnerable egg nests and hatch them in a safe environment,Crowds & Sustainability,2
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
the bus number is either 41 or 48,Transportation,2
the waves are dangerous you can not swim everywhere,Nature & Activities,0
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
then the other cages of the eagle owl and so forth are not spared from litters dirty water buckets dried water dish and rusty cage wired mesh walls,Food & Dining,0
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
good spot to enjoy the day very calm beach rs,Wellness & Relaxation,4
that it is a broken up waterfall adds to its allure,Nature & Activities,1
the hotel wanted 50 per person to take us 9km down the road to nivalli beach and to buy our tickets for the boat ride and entrance fee,Nature & Activities,1
how come you are all alone most of the time because the water is not safe to swim in so be aware of high waves and strong currents,Nature & Activities,0
nice place to relax and sip a good tea,Wellness & Relaxation,4
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
it is nice inside but very busy,Crowds & Sustainability,3
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
if you want to avoid long walk take short cuts but that is too steep with young children a little challenge but i managed with my 3 and 9 yrs oldies i would not call,Nature & Activities,2
it is a day trip,Transportation,2
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
nice to walk around,Nature & Activities,4
it could be a beautiful little beach with a stunning jungle walk to reach it but once we arrived i was disappointed with how busy it was there is was no room to lay on the beach large crowds of tours and extremely loud,Crowds & Sustainability,0
to enter the complex which includes 4 religious sites and the small museum was usd20 per person and an additional usd20 for a guide,Religious & Historical,1
we booked through mansala for the safari and it was a great experience,Nature & Activities,4
had a fantastic time and saw many many exotic birds and other animals,Nature & Activities,3
also the beach does not offer any bars and restaurants which are all located on the street,Nature & Activities,0
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
after a rush look through they brought out four lots of tea you could buy,Entertainment & Shopping,2
it is around a 5 minute drive from the old dutch fort,Transportation,2
it is busy but no where near as busy as european beach resort,Accommodation,0
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
again i really do not mind paying double or even triple the local cost as a tourist but twenty times the cost is crazy especially when the same goes for food transport and accommodation,Accommodation,0
left the hotel a bit behind schedule which meant were were at the car park around 9am,Transportation,1
the beach area is good but you have to be very careful if you venture into the sea the morning time is best as the currents are not too strong but in the afternoon even as a strong swimmer i struggled to cope with them and i would recommend that you do not go in too far as it can be very dangerous,Nature & Activities,0
lavinia beach best relaxation via galle road in south part colombo,Nature & Activities,4
waves are v strong though even in off season,Crowds & Sustainability,4
still good for a walk plenty of locals playing soccer and cricket,Nature & Activities,4
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
sinharaja is a dense forest and contains an amazing variety of flora and fauna,Nature & Activities,4
i do not think i have been so close to so many elephants on a safari it was really special to see them thriving in their own habitat and obviously very used to being observed by visitors as they did not take any notice of people in safari jeeps,Nature & Activities,0
unfortunately are not allowed to take pictures inside the kovil,Religious & Historical,1
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
living here for two years i cannot believe we have never done this before it has to be on your bucket list of you are outdoorsy adventurous or just enjoy beauty in nature,Nature & Activities,1
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
the crowd on the main point is also pretty big and not many people seem to understand the etiquette of surfing bad vibes all round really,Crowds & Sustainability,0
this hindu temple belongs to lord shivathis temple in the middle of the ocean there are small shops on the road,Transportation,2
but the place is quiet and the view is nice,Wellness & Relaxation,3
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
if you go here with a driver ask them to stop at mihidu aranya,Transportation,2
the climb itself is actually quite difficult especially if you go in the afternoon,Nature & Activities,1
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
by car it should cost no more than 7000 lkr there and back and it is best to take a large vehicle due to the poorly constructed roads,Transportation,2
great location and a wonderful religious experience,Religious & Historical,4
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
beautiful national park but go early in the morning,Nature & Activities,3
a climb almost couple of kilometers up on the rock you will reach an amazing site of golden temple under the cave,Religious & Historical,3
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
Our hotel room was small but very clean; the spa service was excellent.,Wellness & Relaxation,4
the views across are very impressive and yes it is about an hour to walk there,Nature & Activities,4
basic facilities but you really do not need much else it speaks for itself,Accommodation,0
it was something like a dream something i will never forget for the rest of my life,Wellness & Relaxation,0
there are 3 national parks in the vicinity minneriyakaudulla and eco with elephants travelling across all 3 of them which is why it is best to check with locals hotel owner tour operator to confirm which park the elephants are in,Accommodation,4
i have experienced sunset at the beach and feeling the sea breeze is an unforgettable event,Nature & Activities,4
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
its not a large site so finally i found the entrance to the rock temple,Religious & Historical,0
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Transportation,1
our travel agent said they do not serve alcohol which is not true,Entertainment & Shopping,2
great sunsets too very quiet not many people on beach and we were there the high season,Wellness & Relaxation,0
there were plenty of beach side resorts and a few restaurants on the beach to grab something to eat,Nature & Activities,1
another great national park with more fantastic wildlife elephants buffalo and monkeys and plenty of birds,Nature & Activities,1
we took a tuk tuk to the museum which is a great drive up into the tea plantations,Transportation,4
a wonderful trip made special with chamara and randika many thanks to them both for a highly recommendable trip,Transportation,4
we stopped in koslanda and followed a local guide to the top of the waterfall,Nature & Activities,3
my husband decided to stay on the road and have tea as it was difficult for him to walk up hill,Transportation,1
wonderful palm walk and a fascinating cannon ball tree tranquil areas for wandering but also lots of grassy spaces for family games and local wedding photos as it was the weeeknd when we visited there was lots happening which gave a lovely insight to sri lankan everyday life there is also ponds lakes and even a rope style suspension bridge which gives great views over the river,Wellness & Relaxation,4
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
she did not make the tour too long or too detailed and we got a free cup of tea at the end upstairs well worth the tuk tuk ride,Transportation,1
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
it is not the largest or most interesting waterfall as others have mentioned but for us it was worth a good walk and the views of the falls at the top,Nature & Activities,1
not only is it a beautiful temple the rituals are done in the most amazing manner,Religious & Historical,1
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
in the afternoon walking down the beach and feeding the turtles was great,Nature & Activities,3
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
unfortunately our hotel delayed us significantly as they forgot our packed breakfast which meant we ended up missing out on the views,Food & Dining,2
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Transportation,1
bit of a drive to get there but really great lookout across the whole area on a clear day,Transportation,3
sadly it did put a damper on the day having to constantly say no thank you word of caution be very aware of the monkeys as they are incredibly brave and up for a free lunch,Food & Dining,0
"The historical museum was fascinating, but the walk to get there was exhausting.",Transportation,1
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
they differ in offered service exposure and elephant treatment at the pinnawala orphanage in sri lanka you can see the herd walking tofrom the river and watch them inside the the orphanage being fed,Accommodation,2
lovely staff and a real passion for sea turtles and conservation very kind and helpful,Nature & Activities,4
the first floor has drier room and furnace room and related machinery displayed,Accommodation,2
apart from birds we saw a few crocodiles lots of monkeys a small monitor lizard an elephant and two small spotted deers,Nature & Activities,1
you can climb up stairs to the top and see a nice view of the surrounding area,Nature & Activities,3
"The historical museum was fascinating, but the walk to get there was exhausting.",Transportation,1
there are a few beach cafe privately owned and are collecting fees to use their umbrella and chair with life guard,Nature & Activities,2
"The spa was peaceful, but the food was overpriced and bland.",Wellness & Relaxation,3
shop was very good,Entertainment & Shopping,4
The pool and massage were amazing; the room view was disappointing though.,Accommodation,1
this was our 1st time to this temple,Religious & Historical,2
within the first 50 meters i saw a shark and a turtle having breakfast it was absolutely stunning and the reef was very beautiful,Nature & Activities,4
easy accessible good car park,Transportation,3
it is not too long from end to end it is not too crowded and each barhotel that joins the beach to the main road is not too expensive,Nature & Activities,2
there is a small bar where you can have a beer i would not go for any food there,Food & Dining,1
we were there in low season and the beach was awful and dangerous,Nature & Activities,0
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
combined with a unique garden experience some kind of jungle art objects seldom flowers the extraordinary batheaded lily just finished to bloom and never seen before porcelaine roses now in it is best red colour all incredible sunk deep into the soul and heart,Nature & Activities,0
a pretty big national park that has many natural lakes,Nature & Activities,3
after this first waterfall he asked if we wanted to return to the lodge,Accommodation,3
plus people near temple will try to scare you to buy rent a sarong sri lankan saree to cover your knees at a grossly exorbitant price be cautious,Entertainment & Shopping,2
he showed us how to drink the river walk which we did reluctantly but do not be scared as the water was so fresh and cold and i could not quite believe it was not half frozen bottled water as it tasted so nice,Food & Dining,0
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
the only tuktuk driver around demands rs 1300 which is far too much,Transportation,2
this is a donation run organisation and whilst we tend to enjoy the beautiful ocean and the surrounding beaches i think visits to these places keeps the stories of those who helped rebuild and plight of the sl people alive,Nature & Activities,3
however in the short period of time probably the last hour before sundown there is a burst of wildlife around the waterholes,Nature & Activities,2
we visited the park as independent travellers with our own car,Transportation,3
30pm train to the north of colombo and reached anuradhapura one of the ancient capitals of sri lanka which is famous for its wellpreserved ruins of ancient sri lankan civilization at 4,Transportation,2
best time to visit this place either first thing in the morning or after 3pm recommend to take a guide to this place as you will see different types of birds does not need a safari jeep as roads are not bad to drive on a normal vehicle but you are not allowed to get down at anytime you can see lots of my monkeys than birds if you are lucky you may also see some crocodiles and elephants,Transportation,0
remember to stop and walk around for a close up experience,Nature & Activities,2
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
other that these periods the sea is calm during august perhaps stretched from katukurunda to waskaduwa there not many places with wide beaches however some patches like kalido area where the beach is wide during certain months like said before close to most hotels the beach is clean and some parts not so much few places rocky and few deep due to estuary of the kalu ganga river,Wellness & Relaxation,0
a nice cafe on the beach,Nature & Activities,4
beautiful environment and very peaceful,Crowds & Sustainability,4
this is a strenuous climb of stairs metal staircases and clambering of the ruins on the top and anyone with vertigo might be advised not to do this or those with weak stamina,Nature & Activities,2
the layout and design of the portion of the house open to the public was most interesting achieving comfort many places to rest and enjoy the srilamkan weather and muse yes of windows and busy areas to cool and filll with light,Crowds & Sustainability,3
this area is protected due to the aftermath of the 2004 tsunami which caused a lot of damage to the marine and coral life,Nature & Activities,2
we were not overly impressed having already been to places like sinharaja rainforest for a hike and udawawale national park for safari,Nature & Activities,0
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
kandy was not in my list and not even the temple unless someone suggested me and so made time to visit this place in my tour to srilanka and after reaching kandy you find the place is not any typical of hill stations its do surround by lush green huge hills with lake and the temple,Religious & Historical,0
we toured this whilst in kandy it was quiet cheap and you got a cup of pot tea after the tour the tour was very informative and we did not realise how involved tea production is so it was fantastic and very well done,Wellness & Relaxation,0
the train stops 5 12 kms from the entrance and it is a hard walk,Transportation,1
we visited here quite a number of times during our week long stay in hikkaduwa,Accommodation,2
beautiful scenery not many tourists so really peaceful,Wellness & Relaxation,0
do not worry about all the steps they are shallow and easy but the climb to the top of the rocks is a bit more challenging,Nature & Activities,1
you might be tired but you can relax in the quiet,Wellness & Relaxation,1
but on getting a tuk tuk and travelling to here we arrived and there was no production but you could still pay to look round,Transportation,1
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
"Although the weather was hot, shopping and food were both amazing.",Food & Dining,4
we were disappointed with this trip,Transportation,0
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Transportation,1
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
our guide was well connected with other drivers and service providers so that he got right information about locations of animals,Nature & Activities,2
the shacks offer beer and food at reasonable rates,Entertainment & Shopping,3
they were busy grazing not sure if they were bothered by the presence of so many jeeps,Crowds & Sustainability,0
i did not go to lands end a lady said it was not worth it and the scenery was not much different so i passed,Nature & Activities,0
there are so many things to see in polonnaruwa,Religious & Historical,4
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
security guards popping over for a quick chat but swiftly requesting a cigarette to further irradicate their foul bleeding gums another chap digging a flower bed bent my ear all be it politely about his excellent hobby of collecting foreign currency very clever and to top it off when spotting two brilliantly bright white bovine beats in a clearing so of course stopping to oggle their minder pops out from behind a tree and starts jibbering about rupees,Accommodation,0
during our trip we saw mostly crocodiles monkeys iguanas bufallos deers and of course a lot of different kind of birda but we wanted to see elephants the most,Transportation,3
one word of warning a lot of the ruin buildings ask for shoes to be removed before you enter and the ground is gritty and boiling hot so take a pair of socks with you to save your soles,Religious & Historical,2
the tea smell was amazing in the factory like the tea had perfumed the wood tea and cakes were delicious you pay for the cups of tea and cake rather than the tour and unlike other places i read of there was no pressure to buy tea to take home although we did,Food & Dining,1
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
a couple of tourists paid to see one they took them in the water to make sure the rest of us would not see anything from the beach,Nature & Activities,1
"The historical museum was fascinating, but the walk to get there was exhausting.",Transportation,1
on the day we went it was extremely busy and it was a slow step by step climb in single file,Nature & Activities,2
a 30 minute to hour vertical climb to the top but it is sure footed with stone steps and some metal stairs,Nature & Activities,4
the shop has a wide range of teas and i the main restaurant area gives free tea well we got some free tea after our tour anyway,Food & Dining,3
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Nature & Activities,4
there is a stupa which appears broken and repaired,Religious & Historical,1
they then offer to photograph you with an elephant by yourself but will not return your cameraiphone until you pay them money,Nature & Activities,2
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
first of all its free of charge big plus youll get a guide who explains every step of the tea manufacturing from collecting leaves to drying shredding different tea types etc quite interesting after that you can go into the restaurant and have a gratis tea and you can tip your guide or not however you like,Food & Dining,0
the people at the resort could not have been any friendlier and helpful,Accommodation,0
situated in fort frederick this temple overlooks the sea,Religious & Historical,2
not sure if hey commission on purchases or what was going on but it made me not want to buy anything,Entertainment & Shopping,1
lots of drivers like to go nice and early to get in quickly the animals are better in the morning you usually see more,Nature & Activities,3
this temple is fantastic and i am glad it is not a tourist hotspot,Religious & Historical,1
it is a nice beach,Nature & Activities,4
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
original corrugated plate tea factory along the road to nuwara elia,Transportation,3
a very impressive ancient capital definitely worth a visit,Religious & Historical,4
coral and snorkelling was nice but when we went it was very overcrowded you could see damage to the coral was fairly severe and ongoing while we were there which was sad to see,Nature & Activities,0
free of trash usually not too many people,Crowds & Sustainability,1
you can also feed milk fruits subject to conditions that you have to buy the stuff at the location,Entertainment & Shopping,1
there are also quite a number of steps to climb up to the top,Nature & Activities,4
"It was peaceful near the temple in the early morning, despite the trash around the area.",Religious & Historical,3
we came on a national holiday makarsankrantipongal and thousands of buddhists from as far away as colombo will come for the day as this is the most significant temple in sri lanka,Religious & Historical,3
without being asked the driver waited for us while we were inside so we volunteered a small waiting fee,Transportation,0
there you will be able to see the woodshop with a few artisans working on future masks the so called museum itself with a nice collection of masks all related to srin lankan folklore and of course the museum shop,Entertainment & Shopping,3
otherwise you will climb all the way up to the entrance and then have to descend by about 100 steps down to buy your ticket then climb back up again to get in,Entertainment & Shopping,2
quite interesting to see the change from the hotel to the local beach occupied by fisherman is boats,Nature & Activities,3
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
we had a good driver and guide who drove us all over this lovely park over 2 days to find the animals we wanted to see,Transportation,4
guide books say nothing is going on because they do all their processing at night but i actually saw this as an advantage no interference we could walk around and not get in anyone is way,Nature & Activities,2
this is well worth the climb up the steps,Nature & Activities,3
i found lots of interesting features and especially liked the carving of the elephant on a rock just above the tank,Nature & Activities,4
we fully intend returning when time permits because although we did not encounter any thrilling experiences we did prefer it to the other parks in sri lanka which are overcrowded with visitors where one encounters jeeps racing around thoughtlessly,Crowds & Sustainability,2
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
if they were to replicate the safari is in africa i have been lucky enough to experience they would benefit from two way radio is in the car so they can communicate when they see something a guide to provide info on the history and about the animals and sealed roads to cover larger areas where is the money going from all these tours,Nature & Activities,2
there are some ground rules for taking photographs no selfies no photos showing back to the buddha statues etc,Religious & Historical,0
walk down to the bodhi tree premises,Nature & Activities,2
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
plus the jojo food vendor experience was pretty bad,Food & Dining,1
you can go down to the base of the waterfall through the hotel situated there,Nature & Activities,1
the sea is warm and if you respect it you can have great fun in the waves but do not go in alone and do not go out of your depth,Nature & Activities,1
walk around the point and you will be disappointed and saddened by the mounds of plastic waste and rubbish the locals just pile up,Nature & Activities,1
"Traffic was terrible, but once we got there, the hike through the mountains was breathtaking.",Transportation,0
i would recommend a visit even for those who do not like to see animals in captivity they are well kept and far better off here than in the places they were rescued from,Nature & Activities,1
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Nature & Activities,3
worth visiting if you are passing by the temple as you can gain some knowledge about history and specially enjoy the ancient paintings,Religious & Historical,3
was not lucky enough to see a bear and only one obscured sighting of a leopard but it is a place where there is plenty to offer anyone who really loves nature,Nature & Activities,0
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
it is just the local park not intended as a tourist destination but as there is not much to do in nuwara eliya if you have spare time you could go for a pleasant walk there,Nature & Activities,1
as it was sunday saw local crowd as well as some tourists like us,Crowds & Sustainability,2
"Shopping was fun, although the crowds were overwhelming in the afternoon.",Entertainment & Shopping,3
"The historical museum was fascinating, but the walk to get there was exhausting.",Religious & Historical,4
it was a quick 15 minute tour the guide spoke very fast and in a noisy environment note if your english is not fluent then you may have no chance of understanding him,Crowds & Sustainability,0
gave a fair insight to what it was all about and a flavour of what we missed by not doing the climb,Nature & Activities,0
be brave and careful its slippery the views at the end of it are wonderful with the white buddha on a nearby rocky hilltop and a green panorama as far as the eye can see,Religious & Historical,1
very very special place probably the best beach in sri lanka,Nature & Activities,4
it is difficult to take in the lake is beauty without getting distracted by the noisy fuel laden traffic,Transportation,1
peaceful boat tour through the lagune with the added bonus of a wonderful flute soundtrack by our great knowledgeable guide budy,Wellness & Relaxation,4
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
Our hotel room was small but very clean; the spa service was excellent.,Accommodation,2
good spot if you love to have a bath in the sea make sure there is no red flag,Nature & Activities,1
interesting place in good condition beautiful paintings showing the story of buddha and the kingdoms,Religious & Historical,4
lovely beach with clear water and coral just off the shore for a couple of you can hire snorkel and masks for a couple of hours and see plenty of fish,Nature & Activities,1
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
meant leaving our hotel at 4am but so worth it to feel comfortable as the temperature was so nice and cool such a difference from what we experienced in the daytime my cousin organised this so afraid i do not have contact details for who we used as soon as we entered the park we could see elephants in the distance,Accommodation,0
after a rickety rackety jeep ride we saw lots if elephants and quite a few birds too,Transportation,1
my 2 year old son loved washing the elephants and there was the opportunity to ride and feed them also,Transportation,4
it was a quiet and almost meditative experience accompanied by sounds of nature no engine involved,Wellness & Relaxation,0
"The historical museum was fascinating, but the walk to get there was exhausting.",Transportation,1
enjoy the sound of the sea,Nature & Activities,4
the beach could be nice if trash and plastic cleaned out of the beach,Crowds & Sustainability,4
"The beach was clean and relaxing, and the nearby restaurants served delicious seafood.",Food & Dining,3
my wife visited this zoo 20 years ago then it was one of the best zoo is of asia so at the end of our tour of amazing lanka this time my wife wish was to see the zoo again well to tell you the truth we all were very disappointed to see such a past glorious attraction is crumbling down the entrance ticket are not cheep for sarac rs 700 per person the fish aquariums i must say is well maintained and attractive display of corals and fish but the rest of the zoo need lots of attention its over crowded surrounded with urban population and traffic noises a new open space in the outskirt of the city will return its glory,Transportation,0
"It was peaceful near the temple in the early morning, despite the trash around the area.",Crowds & Sustainability,1
there are also a few bars dotted along the beach that also serve food,Food & Dining,1
a tour of the facility was worthwhile and gave a good understanding of the processes,Accommodation,4
from there we took the train 2 adults and 2 kids for 255 rupees to hikkaduwa,Transportation,2
it rises 200 m from the green scrub jungle surrounding it,Crowds & Sustainability,1
small beach with a small restaurant,Food & Dining,1
barefoot it is a fair climb up to the buddha and to the temple and to the lookout,Nature & Activities,4
"Although the weather was hot, shopping and food were both amazing.",Entertainment & Shopping,4
the proprietor has to seriously consider a makeover of the place to have any one stay there,Accommodation,1
polonnaruwa was then established with various significant architecture including more superior water irrigation system that flourished agriculture and trade,Religious & Historical,3
"The bus ride was long and uncomfortable, though the historical temple made it worth it.",Religious & Historical,3
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
animals in cramped areas and elephants tied by legs nothing impressive about this zoo,Nature & Activities,0
the rest of the park is pleasant but not spectacular,Wellness & Relaxation,1
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
beautiful views and scenery,Nature & Activities,4
unfortunately was this beach full of trash and not really inviting to spend much time there really sorry to see such things happening to the nature,Crowds & Sustainability,0
hotels r dirty lack basic facilities n hygiene n r way overpriced,Accommodation,1
got back in the car,Transportation,2
The pool and massage were amazing; the room view was disappointing though.,Wellness & Relaxation,4
this majestic temple build on the sea shore is an example of great architecture,Nature & Activities,4
our driver was really nice and patient he stayed until we were completely satisfied,Transportation,4
i highly recommend raja as a tour guide he is a very kind person and good enough as a tour guide speaks english and russian sells all the tours for the reasonable prices we went with him to galle turtle farm hikkaduwa beach souvenir shop river tour and so on and whales watching in the open ocean,Nature & Activities,3
such a lovely place and one of the rare things you can do for free in sri lanka there is no signposts but if you ask and walk in thw general direction on google maps its pretty easy to get to,Nature & Activities,1
"The spa was peaceful, but the food was overpriced and bland.",Food & Dining,1
it will s huge to walk around and admire the architecture and engineering even if one is not a buddhist,Nature & Activities,1
so it involves climbing around 300 steps and the climb is not easy,Nature & Activities,0
we were fortunate to visit during poya and enjoyed a great experience people are beautiful,Religious & Historical,4
also good is the that is why bar and cottages,Entertainment & Shopping,4
