place,user_type,unsafe_review_percent,Wellness & Relaxation,Transportation,Food & Dining,Nature & Activities,Entertainment & Shopping,Accommodation,Crowds & Sustainability,Religious & Historical
Abhayagiri Dagaba,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 33.33%; positive: 66.67%; very positive: 0.0%
Diyaluma Falls,group,2.5,very negative: 0.83%; negative: 0.0%; neutral: 99.17%; positive: 0.0%; very positive: 0.0%,very negative: 3.33%; negative: 6.67%; neutral: 75.0%; positive: 10.83%; very positive: 4.17%,very negative: 0.0%; negative: 0.0%; neutral: 99.17%; positive: 0.83%; very positive: 0.0%,very negative: 5.0%; negative: 5.83%; neutral: 65.0%; positive: 14.17%; very positive: 10.0%,very negative: 0.0%; negative: 0.83%; neutral: 99.17%; positive: 0.0%; very positive: 0.0%,very negative: 2.5%; negative: 1.67%; neutral: 95.0%; positive: 0.83%; very positive: 0.0%,very negative: 0.83%; negative: 0.0%; neutral: 98.33%; positive: 0.83%; very positive: 0.0%,very negative: 0.83%; negative: 0.0%; neutral: 98.33%; positive: 0.0%; very positive: 0.83%
Diyaluma Falls,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 16.67%; negative: 0.0%; neutral: 83.33%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 33.33%; negative: 16.67%; neutral: 33.33%; positive: 0.0%; very positive: 16.67%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Diyaluma Falls,unknown,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 1.89%; negative: 3.77%; neutral: 84.91%; positive: 5.66%; very positive: 3.77%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 3.77%; negative: 9.43%; neutral: 49.06%; positive: 20.75%; very positive: 16.98%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 98.11%; positive: 0.0%; very positive: 1.89%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Galle Fort,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 90.0%; positive: 0.0%; very positive: 10.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 10.0%; negative: 0.0%; neutral: 80.0%; positive: 0.0%; very positive: 10.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 90.0%; positive: 0.0%; very positive: 10.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 80.0%; positive: 0.0%; very positive: 20.0%
Galle Fort,family,1.79,very negative: 0.0%; negative: 0.0%; neutral: 96.43%; positive: 1.79%; very positive: 1.79%,very negative: 0.0%; negative: 0.0%; neutral: 96.43%; positive: 1.79%; very positive: 1.79%,very negative: 0.0%; negative: 1.79%; neutral: 96.43%; positive: 1.79%; very positive: 0.0%,very negative: 1.79%; negative: 3.57%; neutral: 73.21%; positive: 14.29%; very positive: 7.14%,very negative: 0.0%; negative: 0.0%; neutral: 98.21%; positive: 1.79%; very positive: 0.0%,very negative: 3.57%; negative: 3.57%; neutral: 89.29%; positive: 0.0%; very positive: 3.57%,very negative: 0.0%; negative: 1.79%; neutral: 98.21%; positive: 0.0%; very positive: 0.0%,very negative: 7.14%; negative: 1.79%; neutral: 73.21%; positive: 12.5%; very positive: 5.36%
Galle Fort,group,0.43,very negative: 0.43%; negative: 0.0%; neutral: 98.28%; positive: 0.86%; very positive: 0.43%,very negative: 3.43%; negative: 0.86%; neutral: 87.12%; positive: 4.72%; very positive: 3.86%,very negative: 1.72%; negative: 0.86%; neutral: 93.13%; positive: 2.58%; very positive: 1.72%,very negative: 3.43%; negative: 3.0%; neutral: 78.54%; positive: 7.3%; very positive: 7.73%,very negative: 0.86%; negative: 0.0%; neutral: 97.42%; positive: 1.29%; very positive: 0.43%,very negative: 2.15%; negative: 0.86%; neutral: 88.84%; positive: 3.0%; very positive: 5.15%,very negative: 0.0%; negative: 0.0%; neutral: 99.57%; positive: 0.43%; very positive: 0.0%,very negative: 4.29%; negative: 2.15%; neutral: 67.38%; positive: 15.45%; very positive: 10.73%
Galle Fort,solo,0.0,very negative: 0.0%; negative: 1.14%; neutral: 97.73%; positive: 1.14%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 95.45%; positive: 4.55%; very positive: 0.0%,very negative: 1.14%; negative: 0.0%; neutral: 93.18%; positive: 2.27%; very positive: 3.41%,very negative: 2.27%; negative: 2.27%; neutral: 73.86%; positive: 10.23%; very positive: 11.36%,very negative: 1.14%; negative: 0.0%; neutral: 97.73%; positive: 1.14%; very positive: 0.0%,very negative: 1.14%; negative: 0.0%; neutral: 94.32%; positive: 2.27%; very positive: 2.27%,very negative: 2.27%; negative: 0.0%; neutral: 96.59%; positive: 1.14%; very positive: 0.0%,very negative: 5.68%; negative: 3.41%; neutral: 64.77%; positive: 17.05%; very positive: 9.09%
Galle Fort,unknown,0.77,very negative: 0.0%; negative: 0.0%; neutral: 97.69%; positive: 1.92%; very positive: 0.38%,very negative: 0.38%; negative: 0.38%; neutral: 95.77%; positive: 1.92%; very positive: 1.54%,very negative: 0.0%; negative: 0.77%; neutral: 94.23%; positive: 2.31%; very positive: 2.69%,very negative: 0.77%; negative: 1.54%; neutral: 73.46%; positive: 12.69%; very positive: 11.54%,very negative: 0.0%; negative: 0.38%; neutral: 97.31%; positive: 2.31%; very positive: 0.0%,very negative: 0.38%; negative: 1.15%; neutral: 89.62%; positive: 6.15%; very positive: 2.69%,very negative: 0.0%; negative: 0.0%; neutral: 98.85%; positive: 0.77%; very positive: 0.38%,very negative: 1.92%; negative: 1.15%; neutral: 68.08%; positive: 20.77%; very positive: 8.08%
Gangaramaya (Vihara) Buddhist Temple,family,0.0,very negative: 0.0%; negative: 0.0%; neutral: 88.24%; positive: 5.88%; very positive: 5.88%,very negative: 5.88%; negative: 5.88%; neutral: 88.24%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 5.88%; neutral: 94.12%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 94.12%; positive: 0.0%; very positive: 5.88%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 11.76%; negative: 5.88%; neutral: 52.94%; positive: 5.88%; very positive: 23.53%
Gangaramaya (Vihara) Buddhist Temple,group,0.55,very negative: 1.66%; negative: 0.0%; neutral: 93.92%; positive: 2.76%; very positive: 1.66%,very negative: 1.1%; negative: 0.0%; neutral: 94.48%; positive: 2.76%; very positive: 1.66%,very negative: 0.0%; negative: 0.0%; neutral: 99.45%; positive: 0.55%; very positive: 0.0%,very negative: 2.76%; negative: 3.31%; neutral: 91.16%; positive: 1.66%; very positive: 1.1%,very negative: 0.55%; negative: 0.0%; neutral: 97.79%; positive: 1.66%; very positive: 0.0%,very negative: 0.55%; negative: 0.55%; neutral: 97.24%; positive: 1.66%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 98.9%; positive: 0.0%; very positive: 1.1%,very negative: 7.73%; negative: 5.52%; neutral: 54.7%; positive: 22.65%; very positive: 9.39%
Gangaramaya (Vihara) Buddhist Temple,solo,0.0,very negative: 0.0%; negative: 0.88%; neutral: 92.11%; positive: 6.14%; very positive: 0.88%,very negative: 0.0%; negative: 0.0%; neutral: 99.12%; positive: 0.88%; very positive: 0.0%,very negative: 0.0%; negative: 0.88%; neutral: 99.12%; positive: 0.0%; very positive: 0.0%,very negative: 1.75%; negative: 0.88%; neutral: 97.37%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 99.12%; positive: 0.0%; very positive: 0.88%,very negative: 0.0%; negative: 0.0%; neutral: 98.25%; positive: 0.88%; very positive: 0.88%,very negative: 0.88%; negative: 0.0%; neutral: 97.37%; positive: 1.75%; very positive: 0.0%,very negative: 7.02%; negative: 4.39%; neutral: 50.88%; positive: 24.56%; very positive: 13.16%
Gangaramaya (Vihara) Buddhist Temple,unknown,0.0,very negative: 0.7%; negative: 1.05%; neutral: 90.21%; positive: 6.99%; very positive: 1.05%,very negative: 0.7%; negative: 0.0%; neutral: 97.9%; positive: 1.4%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 99.65%; positive: 0.35%; very positive: 0.0%,very negative: 0.7%; negative: 0.0%; neutral: 96.5%; positive: 2.1%; very positive: 0.7%,very negative: 0.35%; negative: 0.0%; neutral: 98.25%; positive: 1.05%; very positive: 0.35%,very negative: 0.35%; negative: 0.0%; neutral: 98.6%; positive: 1.05%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 99.65%; positive: 0.35%; very positive: 0.0%,very negative: 5.94%; negative: 4.2%; neutral: 47.55%; positive: 25.87%; very positive: 16.43%
Glenloch Tea Factory,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 7.89%; negative: 2.63%; neutral: 81.58%; positive: 5.26%; very positive: 2.63%,very negative: 5.26%; negative: 2.63%; neutral: 86.84%; positive: 2.63%; very positive: 2.63%,very negative: 0.0%; negative: 0.0%; neutral: 97.37%; positive: 2.63%; very positive: 0.0%,very negative: 18.42%; negative: 2.63%; neutral: 71.05%; positive: 5.26%; very positive: 2.63%,very negative: 5.26%; negative: 0.0%; neutral: 94.74%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.37%; positive: 2.63%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Glenloch Tea Factory,family,2.78,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 2.78%; neutral: 94.44%; positive: 2.78%; very positive: 0.0%,very negative: 2.78%; negative: 2.78%; neutral: 94.44%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.22%; positive: 2.78%; very positive: 0.0%,very negative: 5.56%; negative: 8.33%; neutral: 80.56%; positive: 5.56%; very positive: 0.0%,very negative: 2.78%; negative: 0.0%; neutral: 94.44%; positive: 0.0%; very positive: 2.78%,very negative: 0.0%; negative: 2.78%; neutral: 97.22%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Glenloch Tea Factory,group,3.52,very negative: 0.78%; negative: 0.0%; neutral: 98.44%; positive: 0.0%; very positive: 0.78%,very negative: 4.3%; negative: 1.17%; neutral: 89.06%; positive: 2.73%; very positive: 2.73%,very negative: 3.52%; negative: 3.52%; neutral: 82.81%; positive: 5.47%; very positive: 4.69%,very negative: 0.39%; negative: 0.0%; neutral: 96.09%; positive: 1.17%; very positive: 2.34%,very negative: 8.98%; negative: 3.91%; neutral: 73.83%; positive: 8.98%; very positive: 4.3%,very negative: 1.56%; negative: 1.17%; neutral: 94.14%; positive: 2.34%; very positive: 0.78%,very negative: 2.34%; negative: 3.52%; neutral: 91.8%; positive: 2.34%; very positive: 0.0%,very negative: 0.39%; negative: 0.0%; neutral: 99.22%; positive: 0.0%; very positive: 0.39%
Glenloch Tea Factory,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 2.04%; negative: 2.04%; neutral: 91.84%; positive: 0.0%; very positive: 4.08%,very negative: 2.04%; negative: 4.08%; neutral: 81.63%; positive: 12.24%; very positive: 0.0%,very negative: 0.0%; negative: 4.08%; neutral: 91.84%; positive: 4.08%; very positive: 0.0%,very negative: 8.16%; negative: 4.08%; neutral: 75.51%; positive: 10.2%; very positive: 2.04%,very negative: 0.0%; negative: 0.0%; neutral: 95.92%; positive: 0.0%; very positive: 4.08%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.96%; positive: 2.04%; very positive: 0.0%
Glenloch Tea Factory,unknown,1.15,very negative: 0.0%; negative: 0.0%; neutral: 97.7%; positive: 1.15%; very positive: 1.15%,very negative: 0.0%; negative: 0.0%; neutral: 91.95%; positive: 8.05%; very positive: 0.0%,very negative: 1.15%; negative: 1.15%; neutral: 91.95%; positive: 3.45%; very positive: 2.3%,very negative: 0.0%; negative: 1.15%; neutral: 93.1%; positive: 2.3%; very positive: 3.45%,very negative: 9.2%; negative: 1.15%; neutral: 73.56%; positive: 14.94%; very positive: 1.15%,very negative: 0.0%; negative: 0.0%; neutral: 98.85%; positive: 0.0%; very positive: 1.15%,very negative: 0.0%; negative: 2.3%; neutral: 96.55%; positive: 1.15%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Gregory Lake,family,0.0,very negative: 0.0%; negative: 0.0%; neutral: 93.75%; positive: 6.25%; very positive: 0.0%,very negative: 0.0%; negative: 2.08%; neutral: 85.42%; positive: 10.42%; very positive: 2.08%,very negative: 2.08%; negative: 2.08%; neutral: 85.42%; positive: 10.42%; very positive: 0.0%,very negative: 4.17%; negative: 0.0%; neutral: 77.08%; positive: 10.42%; very positive: 8.33%,very negative: 0.0%; negative: 0.0%; neutral: 97.92%; positive: 2.08%; very positive: 0.0%,very negative: 4.17%; negative: 0.0%; neutral: 93.75%; positive: 2.08%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 95.83%; positive: 4.17%; very positive: 0.0%,very negative: 2.08%; negative: 0.0%; neutral: 97.92%; positive: 0.0%; very positive: 0.0%
Gregory Lake,group,0.0,very negative: 1.47%; negative: 0.0%; neutral: 92.65%; positive: 4.41%; very positive: 1.47%,very negative: 1.47%; negative: 5.88%; neutral: 76.47%; positive: 13.24%; very positive: 2.94%,very negative: 0.0%; negative: 0.0%; neutral: 94.12%; positive: 4.41%; very positive: 1.47%,very negative: 2.94%; negative: 2.94%; neutral: 86.76%; positive: 5.88%; very positive: 1.47%,very negative: 0.0%; negative: 0.0%; neutral: 97.06%; positive: 2.94%; very positive: 0.0%,very negative: 1.47%; negative: 0.0%; neutral: 89.71%; positive: 4.41%; very positive: 4.41%,very negative: 1.47%; negative: 1.47%; neutral: 95.59%; positive: 1.47%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Gregory Lake,solo,0.0,very negative: 2.44%; negative: 0.0%; neutral: 92.68%; positive: 2.44%; very positive: 2.44%,very negative: 2.44%; negative: 0.0%; neutral: 90.24%; positive: 7.32%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 9.76%; negative: 0.0%; neutral: 70.73%; positive: 7.32%; very positive: 12.2%,very negative: 0.0%; negative: 2.44%; neutral: 95.12%; positive: 2.44%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 97.56%; positive: 2.44%; very positive: 0.0%,very negative: 4.88%; negative: 4.88%; neutral: 87.8%; positive: 0.0%; very positive: 2.44%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Gregory Lake,unknown,0.0,very negative: 0.0%; negative: 0.0%; neutral: 90.23%; positive: 5.26%; very positive: 4.51%,very negative: 0.75%; negative: 0.75%; neutral: 80.45%; positive: 11.28%; very positive: 6.77%,very negative: 1.5%; negative: 1.5%; neutral: 90.23%; positive: 3.01%; very positive: 3.76%,very negative: 1.5%; negative: 0.75%; neutral: 80.45%; positive: 7.52%; very positive: 9.77%,very negative: 0.0%; negative: 0.75%; neutral: 98.5%; positive: 0.75%; very positive: 0.0%,very negative: 0.0%; negative: 1.5%; neutral: 94.74%; positive: 3.01%; very positive: 0.75%,very negative: 1.5%; negative: 1.5%; neutral: 93.98%; positive: 2.26%; very positive: 0.75%,very negative: 0.0%; negative: 0.75%; neutral: 98.5%; positive: 0.75%; very positive: 0.0%
Hakgala Botanic Gardens,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 85.71%; positive: 0.0%; very positive: 14.29%,very negative: 0.0%; negative: 14.29%; neutral: 71.43%; positive: 14.29%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 85.71%; positive: 0.0%; very positive: 14.29%,very negative: 14.29%; negative: 14.29%; neutral: 71.43%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 14.29%; neutral: 85.71%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Hakgala Botanic Gardens,family,0.0,very negative: 4.0%; negative: 0.0%; neutral: 96.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 88.0%; positive: 12.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 8.0%; neutral: 64.0%; positive: 24.0%; very positive: 4.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 4.0%; negative: 0.0%; neutral: 88.0%; positive: 8.0%; very positive: 0.0%,very negative: 4.0%; negative: 0.0%; neutral: 96.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 96.0%; positive: 4.0%; very positive: 0.0%
Hakgala Botanic Gardens,group,0.0,very negative: 1.82%; negative: 0.0%; neutral: 92.73%; positive: 5.45%; very positive: 0.0%,very negative: 5.45%; negative: 0.0%; neutral: 78.18%; positive: 12.73%; very positive: 3.64%,very negative: 1.82%; negative: 0.0%; neutral: 94.55%; positive: 3.64%; very positive: 0.0%,very negative: 3.64%; negative: 0.0%; neutral: 80.0%; positive: 10.91%; very positive: 5.45%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 1.82%; negative: 0.0%; neutral: 89.09%; positive: 9.09%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Hakgala Botanic Gardens,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 91.3%; positive: 8.7%; very positive: 0.0%,very negative: 8.7%; negative: 0.0%; neutral: 78.26%; positive: 13.04%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 4.35%; negative: 4.35%; neutral: 65.22%; positive: 21.74%; very positive: 4.35%,very negative: 0.0%; negative: 4.35%; neutral: 95.65%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 91.3%; positive: 4.35%; very positive: 4.35%,very negative: 0.0%; negative: 0.0%; neutral: 91.3%; positive: 8.7%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Hakgala Botanic Gardens,unknown,0.0,very negative: 0.0%; negative: 0.0%; neutral: 92.13%; positive: 3.37%; very positive: 4.49%,very negative: 1.12%; negative: 0.0%; neutral: 92.13%; positive: 5.62%; very positive: 1.12%,very negative: 1.12%; negative: 0.0%; neutral: 98.88%; positive: 0.0%; very positive: 0.0%,very negative: 4.49%; negative: 3.37%; neutral: 74.16%; positive: 8.99%; very positive: 8.99%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 3.37%; negative: 1.12%; neutral: 94.38%; positive: 1.12%; very positive: 0.0%,very negative: 1.12%; negative: 2.25%; neutral: 91.01%; positive: 4.49%; very positive: 1.12%,very negative: 0.0%; negative: 0.0%; neutral: 98.88%; positive: 0.0%; very positive: 1.12%
Halpewatte Tea Factory Tour,couple,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 85.71%; positive: 14.29%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 85.71%; positive: 0.0%; very positive: 14.29%,very negative: 0.0%; negative: 0.0%; neutral: 85.71%; positive: 0.0%; very positive: 14.29%,very negative: 0.0%; negative: 14.29%; neutral: 71.43%; positive: 14.29%; very positive: 0.0%,very negative: 14.29%; negative: 0.0%; neutral: 85.71%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 85.71%; positive: 0.0%; very positive: 14.29%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Halpewatte Tea Factory Tour,family,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 80.0%; positive: 20.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 90.0%; positive: 10.0%; very positive: 0.0%,very negative: 30.0%; negative: 0.0%; neutral: 60.0%; positive: 10.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 90.0%; positive: 10.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Halpewatte Tea Factory Tour,group,1.04,very negative: 0.52%; negative: 0.0%; neutral: 97.92%; positive: 1.04%; very positive: 0.52%,very negative: 3.12%; negative: 4.17%; neutral: 80.21%; positive: 8.85%; very positive: 3.65%,very negative: 1.04%; negative: 0.52%; neutral: 94.79%; positive: 2.08%; very positive: 1.56%,very negative: 2.08%; negative: 1.04%; neutral: 92.71%; positive: 1.56%; very positive: 2.6%,very negative: 5.73%; negative: 2.08%; neutral: 80.21%; positive: 7.29%; very positive: 4.69%,very negative: 1.56%; negative: 0.52%; neutral: 94.79%; positive: 1.56%; very positive: 1.56%,very negative: 0.52%; negative: 1.04%; neutral: 96.88%; positive: 1.56%; very positive: 0.0%,very negative: 0.52%; negative: 0.0%; neutral: 99.48%; positive: 0.0%; very positive: 0.0%
Halpewatte Tea Factory Tour,solo,0.0,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 84.62%; positive: 11.54%; very positive: 3.85%,very negative: 0.0%; negative: 0.0%; neutral: 92.31%; positive: 3.85%; very positive: 3.85%,very negative: 3.85%; negative: 0.0%; neutral: 92.31%; positive: 0.0%; very positive: 3.85%,very negative: 15.38%; negative: 0.0%; neutral: 73.08%; positive: 3.85%; very positive: 7.69%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Halpewatte Tea Factory Tour,unknown,0.0,very negative: 0.0%; negative: 2.22%; neutral: 97.78%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 4.44%; neutral: 80.0%; positive: 4.44%; very positive: 11.11%,very negative: 0.0%; negative: 0.0%; neutral: 95.56%; positive: 4.44%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 93.33%; positive: 2.22%; very positive: 4.44%,very negative: 2.22%; negative: 2.22%; neutral: 75.56%; positive: 11.11%; very positive: 8.89%,very negative: 0.0%; negative: 4.44%; neutral: 91.11%; positive: 0.0%; very positive: 4.44%,very negative: 0.0%; negative: 2.22%; neutral: 95.56%; positive: 2.22%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%
Handunugoda Tea Estate,couple,6.25,very negative: 6.25%; negative: 0.0%; neutral: 93.75%; positive: 0.0%; very positive: 0.0%,very negative: 6.25%; negative: 0.0%; neutral: 87.5%; positive: 6.25%; very positive: 0.0%,very negative: 12.5%; negative: 0.0%; neutral: 87.5%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 18.75%; negative: 0.0%; neutral: 56.25%; positive: 18.75%; very positive: 6.25%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 100.0%; positive: 0.0%; very positive: 0.0%,very negative: 0.0%; negative: 0.0%; neutral: 93.75%; positive: 6.25%; very positive: 0.0%
Handunugoda Tea Estate,family,6.06,very negative: 1.52%; negative: 0.0%; neutral: 96.97%; positive: 1.52%; very positive: 0.0%,very negative: 1.52%; negative: 0.0%; neutral: 92.42%; positive: 6.06%; very positive: 0.0%,very negative: 1.52%; negative: 1.52%; neutral: 90.91%; positive: 3.03%; very positive: 3.03%,very negative: 1.52%; negative: 0.0%; neutral: 89.39%; positive: 4.55%; very positive: 4.55%,very negative: 7.58%; negative: 3.03%; neutral: 78.79%; positive: 7.58%; very positive: 3.03%,very negative: 1.52%; negative: 1.52%; neutral: 89.39%; positive: 6.06%; very positive: 1.52%,very negative: 1.52%; negative: 0.0%; neutral: 98.48%; positive: 0.0%; very positive: 0.0%,very negative: 1.52%; negative: 0.0%; neutral: 95.45%; positive: 3.03%; very positive: 0.0%
